Name,Scope Project1,
File,E:\RT2min.csv,
Starttime of export,133340919360180000,Montag, 17. Juli 2023,20:25:36.018
Endtime of export,133340920560180000,Montag, 17. Juli 2023,20:27:36.018


Name,ELM3602_Ch1_Value_ScaledSend,Name,ELM3604_Ch3_Value_ScaledSend,Name,ELM3604_Ch1_Value_ScaledSend,Name,ELM3604_Ch2_Value_ScaledSend
SymbolComment,,SymbolComment,,SymbolComment,Sendewert über OPC-UA wenn DINT,SymbolComment,
Data-Type,INT32,Data-Type,INT32,Data-Type,INT32,Data-Type,INT32
SampleTime[ms],5,SampleTime[ms],5,SampleTime[ms],5,SampleTime[ms],5
VariableSize,4,VariableSize,4,VariableSize,4,VariableSize,4
SymbolBased,True,SymbolBased,True,SymbolBased,True,SymbolBased,True
IndexGroup,61472,IndexGroup,61472,IndexGroup,61472,IndexGroup,61472
IndexOffset,469360,IndexOffset,472128,IndexOffset,470744,IndexOffset,471436
SymbolName,Messdaten.ELM3602_Ch1_Value_ScaledSend,SymbolName,Messdaten.ELM3604_Ch3_Value_ScaledSend,SymbolName,Messdaten.ELM3604_Ch1_Value_ScaledSend,SymbolName,Messdaten.ELM3604_Ch2_Value_ScaledSend
NetID,141.60.202.203.1.1,NetID,141.60.202.203.1.1,NetID,141.60.202.203.1.1,NetID,141.60.202.203.1.1
Port,851,Port,851,Port,851,Port,851
Offset,0,Offset,0,Offset,0,Offset,0
ScaleFactor,1,ScaleFactor,1,ScaleFactor,1,ScaleFactor,1
BitMask,0xffffffffffffffff,BitMask,0xffffffffffffffff,BitMask,0xffffffffffffffff,BitMask,0xffffffffffffffff
Unit,(None),Unit,(None),Unit,(None),Unit,(None)
Unit ScaleFactor,1,Unit ScaleFactor,1,Unit ScaleFactor,1,Unit ScaleFactor,1
Unit Offset,0,Unit Offset,0,Unit Offset,0,Unit Offset,0

133340919370280000,-17,133340919370280000,-1,133340919370280000,-2,133340919370280000,3
133340919370330000,15,133340919370330000,2,133340919370330000,0,133340919370330000,0
133340919370380000,8,133340919370380000,-1,133340919370380000,0,133340919370380000,-1
133340919370430000,-4,133340919370430000,4,133340919370430000,-1,133340919370430000,1
133340919370480000,-5,133340919370480000,2,133340919370480000,0,133340919370480000,2
133340919370530000,13,133340919370530000,-4,133340919370530000,2,133340919370530000,-1
133340919370580000,-9,133340919370580000,0,133340919370580000,-1,133340919370580000,1
133340919370630000,-12,133340919370630000,2,133340919370630000,0,133340919370630000,-1
133340919370680000,-8,133340919370680000,-3,133340919370680000,0,133340919370680000,-3
133340919370730000,8,133340919370730000,0,133340919370730000,1,133340919370730000,-1
133340919370780000,18,133340919370780000,0,133340919370780000,1,133340919370780000,2
133340919370830000,-7,133340919370830000,1,133340919370830000,2,133340919370830000,-3
133340919370880000,-12,133340919370880000,2,133340919370880000,-2,133340919370880000,-1
133340919370930000,3,133340919370930000,0,133340919370930000,-2,133340919370930000,0
133340919370980000,-8,133340919370980000,-3,133340919370980000,-2,133340919370980000,0
133340919371030000,3,133340919371030000,1,133340919371030000,-2,133340919371030000,-3
133340919371080000,22,133340919371080000,0,133340919371080000,-2,133340919371080000,-1
133340919371130000,4,133340919371130000,-3,133340919371130000,1,133340919371130000,-1
133340919371180000,-27,133340919371180000,3,133340919371180000,1,133340919371180000,0
133340919371230000,1,133340919371230000,1,133340919371230000,1,133340919371230000,0
133340919371280000,-6,133340919371280000,-2,133340919371280000,1,133340919371280000,1
133340919371330000,-33,133340919371330000,1,133340919371330000,1,133340919371330000,1
133340919371380000,2,133340919371380000,-1,133340919371380000,1,133340919371380000,-1
133340919371430000,2,133340919371430000,1,133340919371430000,0,133340919371430000,-1
133340919371480000,2,133340919371480000,1,133340919371480000,2,133340919371480000,-2
133340919371530000,14,133340919371530000,1,133340919371530000,0,133340919371530000,1
133340919371580000,20,133340919371580000,-4,133340919371580000,-2,133340919371580000,2
133340919371630000,-22,133340919371630000,3,133340919371630000,-1,133340919371630000,0
133340919371680000,9,133340919371680000,-2,133340919371680000,2,133340919371680000,1
133340919371730000,9,133340919371730000,-1,133340919371730000,-2,133340919371730000,0
133340919371780000,15,133340919371780000,0,133340919371780000,-3,133340919371780000,3
133340919371830000,-29,133340919371830000,0,133340919371830000,0,133340919371830000,4
133340919371880000,-11,133340919371880000,2,133340919371880000,2,133340919371880000,2
133340919371930000,-29,133340919371930000,3,133340919371930000,4,133340919371930000,0
133340919371980000,0,133340919371980000,-1,133340919371980000,0,133340919371980000,-1
133340919372030000,2,133340919372030000,1,133340919372030000,3,133340919372030000,-3
133340919372080000,9,133340919372080000,1,133340919372080000,-1,133340919372080000,1
133340919372130000,-4,133340919372130000,-1,133340919372130000,1,133340919372130000,2
133340919372180000,-11,133340919372180000,-5,133340919372180000,0,133340919372180000,0
133340919372230000,24,133340919372230000,0,133340919372230000,-2,133340919372230000,1
133340919372280000,6,133340919372280000,-2,133340919372280000,0,133340919372280000,1
133340919372330000,-10,133340919372330000,-1,133340919372330000,-2,133340919372330000,1
133340919372380000,3,133340919372380000,1,133340919372380000,-2,133340919372380000,-2
133340919372430000,5,133340919372430000,0,133340919372430000,-1,133340919372430000,2
133340919372480000,-10,133340919372480000,0,133340919372480000,0,133340919372480000,1
133340919372530000,0,133340919372530000,1,133340919372530000,-2,133340919372530000,1
133340919372580000,-10,133340919372580000,0,133340919372580000,-2,133340919372580000,2
133340919372630000,6,133340919372630000,-1,133340919372630000,1,133340919372630000,1
133340919372680000,7,133340919372680000,2,133340919372680000,1,133340919372680000,-1
133340919372730000,11,133340919372730000,0,133340919372730000,0,133340919372730000,2
133340919372780000,-4,133340919372780000,2,133340919372780000,0,133340919372780000,-1
133340919372830000,-7,133340919372830000,-2,133340919372830000,-1,133340919372830000,0
133340919372880000,2,133340919372880000,-1,133340919372880000,0,133340919372880000,-1
133340919372930000,-31,133340919372930000,0,133340919372930000,1,133340919372930000,1
133340919372980000,-15,133340919372980000,2,133340919372980000,-2,133340919372980000,0
133340919373030000,-1,133340919373030000,-1,133340919373030000,-1,133340919373030000,-2
133340919373080000,12,133340919373080000,2,133340919373080000,0,133340919373080000,4
133340919373130000,-6,133340919373130000,2,133340919373130000,1,133340919373130000,-1
133340919373180000,-26,133340919373180000,1,133340919373180000,0,133340919373180000,-1
133340919373230000,15,133340919373230000,-2,133340919373230000,0,133340919373230000,1
133340919373280000,-7,133340919373280000,-2,133340919373280000,0,133340919373280000,0
133340919373330000,-17,133340919373330000,-2,133340919373330000,0,133340919373330000,0
133340919373380000,-3,133340919373380000,-1,133340919373380000,3,133340919373380000,2
133340919373430000,-17,133340919373430000,-3,133340919373430000,1,133340919373430000,0
133340919373480000,5,133340919373480000,0,133340919373480000,-1,133340919373480000,-1
133340919373530000,2,133340919373530000,4,133340919373530000,2,133340919373530000,2
133340919373580000,4,133340919373580000,3,133340919373580000,0,133340919373580000,2
133340919373630000,0,133340919373630000,-2,133340919373630000,-1,133340919373630000,0
133340919373680000,7,133340919373680000,0,133340919373680000,0,133340919373680000,0
133340919373730000,-6,133340919373730000,4,133340919373730000,5,133340919373730000,0
